shipment_id,cargo_weight,shipment_priority,shc,customs_status,inspection_required,clearance_type,documentation_status,payment_status,consignee_name,consignee_behavior,staff_availability,truck_availability,packaging_condition,warehouse_load_percentage,flight_delay_hours,arrival_datetime,release_datetime,dwell_time_hours
SHIP_106443,1272.15,Low,GEN,Hold,1,Automatic,Missing,Pending,MedSupply International,Cooperative,67,Available,Good,57.05,6.67,2024-01-01 22:37:00,2024-01-05 08:37:00,82
SHIP_112985,2627.16,Medium,GEN,Pending,1,Automatic,Incomplete,Pending,Secure Freight Systems,Average,22,Available,Good,49.46,23.77,2023-12-31 22:42:00,2024-01-03 05:42:00,55
SHIP_108351,2410.81,Low,GEN,Under Inspection,0,Automatic,Complete,Paid,Skyline Traders,Average,40,Available,Good,69.81,22.13,2023-12-30 23:32:00,2024-01-01 09:32:00,34
SHIP_115599,4864.96,Medium,VAL,Pending,0,Manual,Incomplete,Pending,DHL Logistics,Average,92,Available,Good,49.36,22.56,2023-12-30 23:39:00,2024-01-02 00:39:00,49
SHIP_119367,2749.27,Critical,EAT,Under Inspection,0,Manual,Missing,Paid,FreshFoods Exports,Cooperative,76,Not Available,Good,83.35,18.94,2024-01-02 06:45:00,2024-01-04 15:45:00,57
SHIP_104218,2318.67,Low,PER,Pending,1,Manual,Complete,Overdue,Skyline Traders,Average,85,Available,Good,53.75,0.86,2023-12-31 09:21:00,2024-01-02 21:21:00,60
SHIP_115383,372.8,Critical,PER,Under Inspection,0,Automatic,Incomplete,Overdue,Secure Freight Systems,Average,36,Not Available,Needs Repacking,52.64,12.69,2024-01-02 22:54:00,2024-01-06 20:54:00,94
SHIP_102914,592.85,Low,AVI,Pending,0,Automatic,Incomplete,Overdue,MedSupply International,Average,61,Not Available,Good,78.76,14.21,2024-01-01 23:59:00,2024-01-05 14:59:00,87
SHIP_101924,1689.98,High,EAT,Under Inspection,0,Manual,Complete,Pending,AeroTech Solutions,Average,85,Delayed,Good,37.79,2.81,2024-01-01 03:15:00,2024-01-02 21:15:00,42
SHIP_104544,908.24,High,EAT,Under Inspection,0,Manual,Complete,Pending,MedSupply International,Average,98,Delayed,Good,78.43,22.98,2023-12-31 02:36:00,2024-01-01 16:36:00,38
SHIP_103775,3400.21,Critical,VAL,Hold,0,Automatic,Missing,Pending,Prime Retail Imports,Delayed Response,24,Not Available,Good,97.88,22.61,2024-01-01 23:15:00,2024-01-05 15:15:00,88
SHIP_101395,1059.24,Critical,VAL,Hold,0,Manual,Incomplete,Paid,MedSupply International,Cooperative,77,Available,Damaged,38.52,22.8,2024-01-01 19:44:00,2024-01-03 20:44:00,49
SHIP_118740,1079.39,Low,GEN,Pending,0,Manual,Incomplete,Pending,ABC Pharma Ltd,Average,90,Available,Good,80.57,18.58,2024-01-01 10:56:00,2024-01-03 01:56:00,39
